,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
117,12688,12608,12560,12560,12512,12560,12688,12624,12528,12544,12560,12576,12640,12544,12480,12576,12560,12544
118,12592,12576,12576,12608,12512,12480,12656,12640,12560,12560,12528,12576,12688,12560,12464,12528,12544,12576
119,12592,12528,12560,12624,12560,12544,12592,12576,12576,12640,12576,12528,12592,12592,12592,12576,12512,12512
120,12672,12608,12576,12576,12512,12560,12688,12640,12544,12560,12560,12576,12672,12592,12528,12512,12544,12576
121,12640,12528,12560,12624,12560,12512,12592,12624,12592,12592,12544,12544,12656,12624,12544,12512,12528,12576
122,12656,12544,12528,12608,12592,12544,12608,12592,12592,12640,12560,12512,12608,12592,12560,12512,12480,12544
123,12720,12560,12512,12576,12576,12560,12592,12544,12576,12624,12576,12512,12560,12576,12576,12560,12480,12528
124,12688,12576,12544,12544,12560,12576,12624,12560,12528,12608,12624,12560,12560,12560,12576,12608,12512,12512
125,12672,12608,12528,12544,12544,12576,12672,12592,12512,12576,12592,12592,12576,12528,12544,12592,12528,12496
126,12624,12576,12592,12576,12496,12544,12656,12592,12512,12560,12576,12608,12592,12528,12512,12592,12560,12528
127,12576,12560,12576,12576,12496,12528,12640,12624,12544,12560,12560,12592,12624,12544,12496,12544,12560,12560
128,12608,12544,12576,12624,12528,12512,12608,12608,12560,12560,12528,12560,12624,12576,12512,12528,12544,12592
129,12624,12528,12560,12608,12560,12528,12528,12592,12592,12576,12528,12528,12592,12608,12528,12528,12528,12576
130,12608,12544,12528,12608,12592,12544,12528,12560,12576,12640,12608,12544,12512,12576,12576,12624,12544,12496
131,12624,12592,12608,12592,12512,12528,12512,12640,12560,12592,12544,12576,12448,12592,12544,12544,12528,12544
132,12672,12560,12528,12592,12576,12592,12512,12576,12528,12592,12608,12592,12464,12544,12544,12592,12592,12560
133,12592,12560,12592,12640,12560,12528,12400,12592,12592,12608,12544,12528,12416,12592,12560,12544,12480,12544
134,12624,12576,12512,12576,12576,12576,12288,12544,12544,12608,12576,12528,12256,12576,12576,12560,12496,12512
